Date,Mortgage,HE Revolving,Auto Loan,Credit Card,Student Loan,Other,Total,quarter,GDP_trillions,Mortgage_pct_gdp,HE Revolving_pct_gdp,Auto Loan_pct_gdp,Credit Card_pct_gdp,Student Loan_pct_gdp,Other_pct_gdp,Total_pct_gdp,date
15:Q1,8.171,0.51,0.968,0.684,1.189,0.329,11.851,2015Q1,18.063529,45.23479326769426,2.823368567681321,5.3588642617951345,3.7866354907725954,6.582323974457041,1.8213495269944207,65.60733508939478,2015-01-01
15:Q2,8.116,0.499,1.006,0.703,1.19,0.339,11.853,2015Q2,18.279784,44.39877407741798,2.729791555523851,5.503347304322633,3.8457784840346037,6.509923749646057,1.8545076900252218,64.84212286097035,2015-04-01
15:Q3,8.26,0.492,1.045,0.714,1.203,0.351,12.065,2015Q3,18.401626,44.88733767331213,2.673676771824403,5.6788459889359775,3.880091900574438,6.537465765253571,1.9074401359966773,65.56485823589719,2015-07-01
15:Q4,8.249,0.487,1.064,0.733,1.232,0.351,12.116,2015Q4,18.435136999999997,44.74607376120938,2.6416944989342905,5.771587159889293,3.976102808457567,6.682890395661286,1.903972831880772,65.72232145603257,2015-10-01
16:Q1,8.369,0.485,1.071,0.712,1.261,0.354,12.252,2016Q1,18.525933000000002,45.17451293816079,2.617951819214719,5.781085357482399,3.8432612273832576,6.806674729958269,1.9108349360866195,66.13432100828605,2016-01-01
16:Q2,8.362,0.478,1.103,0.729,1.259,0.356,12.287,2016Q2,18.711702000000002,44.68861250569296,2.55455115734528,5.894706959313481,3.895957727415709,6.728409847484744,1.9025527448010875,65.66479094205326,2016-04-01
16:Q3,8.35,0.472,1.135,0.747,1.279,0.367,12.35,2016Q3,18.892639,44.19710766717133,2.4983275232221396,6.0076308026634075,3.9539208895062257,6.76983241991762,1.9425555106409436,65.36937481312167,2016-07-01
16:Q4,8.48,0.473,1.157,0.779,1.31,0.377,12.576,2016Q4,19.089379,44.422607985309526,2.4778176388032316,6.060961962146594,4.080803257141052,6.862454771315504,1.9749201899129354,65.87956580462885,2016-10-01
17:Q1,8.627,0.456,1.167,0.764,1.344,0.367,12.725,2017Q1,19.280084,44.74565567245455,2.3651349236860173,6.052878192854347,3.962638337052889,6.970923985600893,1.9035186776157202,66.0007497892644,2017-01-01
17:Q2,8.691,0.452,1.19,0.784,1.344,0.378,12.839,2017Q2,19.438643,44.709911077640555,2.325265194694918,6.121826508156974,4.0332033465504775,6.914062879800818,1.9445801849439799,66.04884919178772,2017-04-01
17:Q3,8.743,0.448,1.213,0.808,1.357,0.386,12.955,2017Q3,19.692595,44.39739912388388,2.2749668085897263,6.159675756293165,4.1030651369207565,6.890915087625576,1.9601276520438267,65.78614956535692,2017-07-01
17:Q4,8.882,0.444,1.221,0.834,1.378,0.389,13.148,2017Q4,20.037088,44.32779853040521,2.2158908520040437,6.09369984301112,4.162281465250838,6.877246833472008,1.9413998680846238,65.61831739222785,2017-10-01
18:Q1,8.939,0.436,1.229,0.815,1.407,0.385,13.211,2018Q1,20.328553,43.97263297589356,2.1447665261762605,6.04568362539134,4.009139263379937,6.9212993172706385,1.8938878728850008,64.98740958099675,2018-01-01
18:Q2,8.999,0.432,1.238,0.829,1.405,0.39,13.293,2018Q2,20.580912,43.72498167233794,2.0990323460884532,6.015282510318298,4.028004201174369,6.826713995958974,1.894959756885409,64.58897448276343,2018-04-01
18:Q3,9.14,0.422,1.265,0.844,1.442,0.399,13.512,2018Q3,20.79873,43.94499087203882,2.02897003807444,6.082102128351106,4.05794007614888,6.933115627733039,1.9183863630135112,64.96550510535981,2018-07-01
18:Q4,9.124,0.412,1.274,0.87,1.457,0.407,13.544,2018Q4,20.917866999999998,43.61821403683273,1.9696080867136214,6.090487141925132,4.15912387242925,6.96533733578094,1.9457050759525338,64.74847554963421,2018-10-01
19:Q1,9.244,0.406,1.28,0.848,1.486,0.404,13.668,2019Q1,21.1116,43.78635442126603,1.9231133594800964,6.063017488016067,4.016749085810645,7.038784364993653,1.9136398946550714,64.74165861422156,2019-01-01
19:Q2,9.406,0.399,1.297,0.868,1.478,0.412,13.86,2019Q2,21.397938,43.95750655974422,1.8646656514286566,6.061331704017461,4.056465627669358,6.907207601031464,1.9254191688937503,64.7725963127849,2019-04-01
19:Q3,9.437,0.396,1.315,0.881,1.498,0.425,13.952,2019Q3,21.717170999999997,43.4540944582515,1.8234419206811057,6.0551164790294285,4.056697808383975,6.897767669647213,1.9569768088117925,64.24409514480502,2019-07-01
19:Q4,9.557,0.39,1.331,0.927,1.508,0.432,14.145,2019Q4,21.933217,43.573179438292165,1.7781249326079254,6.068421244361919,4.226466185968069,6.875416406083978,1.969615309965702,64.49122351727975,2019-10-01
20:Q1,9.713,0.386,1.346,0.893,1.535,0.427,14.3,2020Q1,21.751238,44.65492952631018,1.7746116335998898,6.188153520273191,4.105513442499227,7.057069579211997,1.9631066516765618,65.74338435357105,2020-01-01
20:Q2,9.776,0.375,1.343,0.817,1.537,0.418,14.266,2020Q2,19.958291000000003,48.98214982435119,1.87891839035717,6.729033061999146,4.093536866458154,7.701060175943921,2.0943676991181253,71.4790660182277,2020-04-01
20:Q3,9.861,0.362,1.36,0.807,1.546,0.417,14.353,2020Q3,21.704437000000002,45.43310660396305,1.6678617372106908,6.265999896703148,3.7181337622348827,7.122967529634608,1.9212661447979504,66.12933567454432,2020-07-01
20:Q4,10.043,0.349,1.374,0.819,1.555,0.419,14.559,2020Q4,22.08716,45.469856695020994,1.580103553376713,6.220808831918635,3.708036705488618,7.040289471348965,1.8970297675210392,65.91612502467495,2020-10-01
21:Q1,10.16,0.335,1.382,0.77,1.584,0.413,14.644,2021Q1,22.680692999999998,44.79580936966962,1.4770271790196183,6.093288243000335,3.394957993567481,6.98391358676739,1.8209320147316486,64.5659283867561,2021-01-01
21:Q2,10.442,0.322,1.415,0.787,1.57,0.421,14.957,2021Q2,23.42591,44.57457575820961,1.3745463890196796,6.040320311996418,3.359527975647478,6.701980840872351,1.7971553719791464,63.848106647724684,2021-04-01
21:Q3,10.672,0.317,1.443,0.804,1.584,0.423,15.243,2021Q3,23.982379,44.49933845178579,1.321803812707655,6.016917671095099,3.3524614051008035,6.604849335422478,1.7637949929821388,63.55916566909396,2021-07-01
21:Q4,10.93,0.318,1.458,0.856,1.576,0.438,15.576,2021Q4,24.813599999999997,44.04842505722669,1.2815552761388918,5.875810039655673,3.4497211206757585,6.351355708160042,1.7651610407196054,62.77202824257667,2021-10-01
22:Q1,11.18,0.317,1.469,0.841,1.59,0.445,15.842,2022Q1,25.250347,44.27661924804439,1.2554282917379314,5.817741831429089,3.3306472976391173,6.296943166761233,1.762352018370282,62.73973185398204,2022-01-01
22:Q2,11.387,0.319,1.502,0.887,1.589,0.47,16.154,2022Q2,25.861292000000002,44.03105614367604,1.233503724407891,5.807907818371951,3.4298363747642613,6.144317925028648,1.8173879325131936,62.46400991876198,2022-04-01
22:Q3,11.669,0.322,1.524,0.925,1.574,0.491,16.505,2022Q3,26.336304,44.307659875129026,1.222646883176926,5.786688975036133,3.5122620091262617,5.976540975529445,1.8643466448443184,62.670145362842106,2022-07-01
22:Q4,11.923,0.336,1.552,0.986,1.595,0.507,16.899,2022Q4,26.770514,44.537807529582736,1.255112247751388,5.797423239613555,3.6831567746513945,5.958047723700785,1.8938747309820052,63.125422246281865,2022-10-01
23:Q1,12.044,0.339,1.562,0.986,1.604,0.512,17.047,2023Q1,27.216445,44.252656803634714,1.245570463004996,5.739177177621839,3.6228096652593678,5.893495642064935,1.8812155665444183,62.63492531813027,2023-01-01
23:Q2,12.014,0.34,1.582,1.031,1.569,0.527,17.063,2023Q2,27.530055,43.639578635059024,1.2350138784684592,5.746446928638537,3.7449979667675923,5.699225809755919,1.914271511626112,61.97953473031565,2023-04-01
23:Q3,12.14,0.349,1.595,1.079,1.599,0.529,17.291,2023Q3,28.074846,43.241555091700235,1.2431056612029143,5.681242205211028,3.843298018446833,5.695489834565789,1.8842489821671686,61.588939793293974,2023-07-01
23:Q4,12.252,0.36,1.607,1.129,1.601,0.554,17.503,2023Q4,28.424722000000003,43.10332393048558,1.2665031517282737,5.653529346742599,3.9718946063922806,5.632420960880461,1.9490076279373991,61.57667962416659,2023-10-01
24:Q1,12.442,0.376,1.616,1.115,1.595,0.543,17.687,2024Q1,28.708161,43.339592529106966,1.309732100220561,5.629061366905391,3.883913009962568,5.55591143577605,1.8914482192015016,61.609658661173036,2024-01-01
24:Q2,12.519,0.38,1.626,1.142,1.585,0.544,17.796,2024Q2,29.147044,42.95118228798776,1.3037342654713115,5.578610304358822,3.9180645557058886,5.43794423887376,1.866398527411562,61.0559341798091,2024-04-01
24:Q3,12.594,0.387,1.644,1.166,1.606,0.546,17.943,2024Q3,29.511664,42.67465230018883,1.31134591394101,5.570678766199018,3.950980195491518,5.441916118318507,1.8501159405989442,60.79968923473784,2024-07-01
24:Q4,12.605,0.396,1.655,1.211,1.615,0.554,18.036,2024Q4,29.825182,42.262944112126455,1.3277370780168247,5.54900218211577,4.0603272764605425,5.414887325750434,1.8574907606599016,60.47238873512993,2024-10-01
25:Q1,12.804,0.402,1.642,1.182,1.631,0.542,18.203,2025Q1,30.042113,42.62017122430769,1.3381215895166896,5.465660820861701,3.934476912459519,5.4290455534868665,1.8041340833782231,60.59161018401069,2025-01-01
25:Q2,12.935,0.411,1.655,1.209,1.638,0.54,18.388,2025Q2,30.485729,42.429688986607474,1.3481717953997425,5.428769638410156,3.9657900258839147,5.373005841520142,1.7713206070945524,60.31674689491599,2025-04-01
