"Table with row headers in column A and column headers in rows 8 through 10, 92 through 94, 149 through 151, 233 through 235, 317 through 319, 401 through 403, 485 through 487, 569 through 571, and 613 through 615",,,,,,
"Table P-8. Age--All People, by Median Income and Sex: 1947 to 2024",,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>.",,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1948 to 2025 Annual Social and Economic Supplements (CPS ASEC).",,,,,,
"(People 15 years old and over beginning with March 1980, and people 14 years old and over as of March of the following year for previous years. Income in current and 2024 C-CPI-U (2000-2024) and R-CPI-U-RS (pre-2000) adjusted dollars (28))",,,,,,
15 Years and Over,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
1971 (13),12880,8562,55510,8285,3545,22980
1970,12250,8256,55810,7931,3225,21800
1969,11940,7974,56530,7462,3000,21270
1968,11500,7331,54170,7272,2881,21290
1967 (12),11090,6799,52240,6762,2616,20100
1966 (11),10610,6507,51580,6156,2350,18630
1965 (10),10430,6007,48950,5770,2257,18390
1964,10350,5733,47610,5832,2036,16910
1963,10450,5470,45860,5636,1856,15560
1962 (9),10410,5214,44360,5602,1774,15090
1961 (8),10460,5045,43340,5658,1861,15990
1960,10720,4904,42550,5557,1755,15230
1959,10790,4747,41810,5254,1727,15210
1958,10900,4459,39680,5221,1671,14870
1957,10970,4372,39920,5395,1717,15680
1956,11030,4211,39700,5545,1574,14840
1955,11220,3886,37240,5263,1601,15340
1954,11150,3664,34920,5061,1583,15090
1953,11120,3709,35740,5304,1643,15830
1952 (7),11270,3493,33840,5231,1578,15290
1951,11030,3288,32400,5075,1623,15990
1950,10850,2961,31490,5083,1355,14410
1949 (6),11150,2754,29650,4863,1322,14230
1948,10770,2724,28970,4644,1349,14350
1947 (5),10790,2449,28290,4266,1215,14030
35 to 44 Years,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
2024,21650,70630,70630,20250,51070,51070
2023,21070,64410,66080,19770,48030,49270
2022,20720,61460,65510,19220,46470,49540
2021,20550,60110,69010,19230,42690,49010
2020 (41),20330,56640,67940,18960,39840,47780
2019,19540,57130,69240,18650,40000,48480
2018,19320,53960,66360,18210,36950,45440
2017 (40),19210,53800,67500,18220,35790,44900
2017,19200,52400,65750,18240,35220,44180
2016,18790,51440,65680,17860,32980,42100
2015,18730,49850,64200,17920,31620,40730
2014,18570,46570,59940,17830,31070,39990
2013 (39),18670,46300,60440,18000,30330,39600
2013 (38),18480,45940,59970,17360,30570,39910
2012,18580,45220,59750,17540,30060,39720
2011,18610,43970,59210,17670,29100,39180
2010 (37),18720,42230,58640,17760,29270,40650
2009 (36),19090,42220,59430,17910,27890,39260
2008,19730,44190,61950,18480,27370,38370
2007,20110,45020,65430,18820,27700,40260
2006,20370,42640,63550,19200,26370,39300
2005,20570,40960,62830,19550,25440,39010
2004 (35),20610,40530,63970,19740,24400,38510
2003,20780,39200,63410,20010,23470,37970
2002,20980,37890,62580,20490,22320,36870
2001,21170,38340,64110,20650,22470,37570
2000 (30),21460,37920,64840,20890,22080,37750
1999 (29),21370,36400,64380,21060,20660,36540
1998,21540,35180,63510,20970,20290,36620
1997,21460,32850,60120,20810,18710,34230
1996,21180,32170,60130,20640,18450,34480
1995 (25),20770,31420,60280,20460,17400,33380
1994 (24),20390,30710,60310,20130,16190,31790
1993 (23),19950,30340,60890,19670,15840,31800
1992 (22),19660,29490,60650,19360,15420,31710
1991,19160,29300,61790,18870,15130,31900
1990,18760,29770,65070,18550,14500,31700
1989,18070,29440,67460,17690,13810,31640
1988,17400,28550,68290,17040,12550,30010
1987 (21),16800,27040,67090,16470,12000,29760
1986,16290,26170,67120,15920,11060,28380
1985 (20),15690,25360,66110,15270,10280,26790
1984 (19),15080,24570,66220,14640,9561,25770
1983,14460,22440,63020,13990,8860,24880
1982,13850,21650,63350,13290,7851,22970
1981,13250,21120,65530,12650,7366,22860
1980,12660,20040,68120,11980,6465,21980
1979 (18),12330,18340,69250,11650,5887,22220
1978,11850,16570,68490,10240,5804,23990
1977,11490,15600,68890,8981,5538,24450
1976 (17),11120,14330,67340,8568,5158,24250
1975 (16),11030,13330,66240,8188,4705,23380
1974 (16)(15),10910,12600,67830,7878,4451,23960
1973,10930,12030,71120,7645,4110,24300
1972 (14),10850,11040,69230,7425,3862,24230
1971 (13),10910,9967,64620,7302,3632,23550
1970,10910,9465,63980,7293,3450,23320
1969,11040,9045,64120,7359,3237,22950
1968,11100,8280,61190,7229,3044,22490
1967 (12),11290,7636,58670,7247,2836,21790
1966 (11),11380,7305,57910,6884,2590,20530
1965 (10),11490,6714,54720,6797,2484,20240
1964,11560,6500,53980,6966,2259,18760
1963,11620,6233,52260,6757,2145,17990
1962 (9),11590,5987,50930,6655,2081,17700
1961 (8),11450,5726,49190,6530,2123,18240
1960,11400,5529,47970,6319,2034,17650
1959,11440,5320,46860,6082,1848,16280
1958,11290,4924,43810,5937,1817,16170
1957,11130,4745,43330,5885,1784,16290
1956,11010,4575,43130,5727,1736,16370
1955,10950,4255,40770,5462,1582,15160
1954,10740,4051,38610,5280,1582,15080
1953,10700,3978,38330,5342,1601,15430
1952 (7),10610,3709,35940,5102,1587,15380
1951,10160,3617,35640,4661,1538,15150
1950,9935,3254,34600,4433,1308,13910
1949 (6),9962,2951,31770,4263,1284,13820
1948,9816,3046,32390,4304,1333,14180
1947 (5),9734,2845,32860,3997,1332,15380
45 to 54 Years,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
2024,19040,74030,74030,18410,51770,51770
2023,18960,70310,72130,18300,48300,49550
2022,18910,65230,69530,18030,47130,50240
2021,18930,61210,70270,18290,45310,52020
2020 (41),19100,60100,72080,18430,41010,49180
2019,18460,61120,74080,18630,40540,49130
2018,19030,56710,69750,18600,36890,45380
