Year,Age Group,Combined Median (2024 $)
2003,55 to 64 Years,47773.94419306184
2003,65 Years and Older,25095.4351687389
2004,25 to 34 Years,42202.61392228124
2004,35 to 44 Years,51514.47583643123
2004,45 to 54 Years,53800.761614623
2004,55 to 64 Years,47166.99421965318
2004,65 Years and Older,25265.798712697484
2005,25 to 34 Years,41727.474972191325
2005,35 to 44 Years,51222.79661016949
2005,45 to 54 Years,53840.509109059145
2005,55 to 64 Years,48012.69906928646
2005,65 Years and Older,25301.226031377108
2006,25 to 34 Years,42275.98066298343
2006,35 to 44 Years,51783.51023502654
2006,45 to 54 Years,54900.10598964752
2006,55 to 64 Years,48871.207471647765
2006,65 Years and Older,26659.52326249282
2007,25 to 34 Years,42949.37672366244
2007,35 to 44 Years,53262.02157718983
2007,45 to 54 Years,54848.06451612903
2007,55 to 64 Years,48938.48329048843
2007,65 Years and Older,26842.113271344042
2008,25 to 34 Years,41615.47457166168
2008,35 to 44 Years,50545.69746139754
2008,45 to 54 Years,51801.070477113106
2008,55 to 64 Years,47069.7191011236
2008,65 Years and Older,27096.55890410959
2009,25 to 34 Years,40447.46057640022
2009,35 to 44 Years,49666.62972972973
2009,45 to 54 Years,51702.69324258629
2009,55 to 64 Years,46587.85670916818
2009,65 Years and Older,28067.842401500937
2010,25 to 34 Years,40078.5627753304
2010,35 to 44 Years,49881.71052631579
2010,45 to 54 Years,50807.44351669941
2010,55 to 64 Years,46217.831187410586
2010,65 Years and Older,27469.797244606187
2011,25 to 34 Years,39416.867469879515
2011,35 to 44 Years,49454.48456449834
2011,45 to 54 Years,50213.18847777502
2011,55 to 64 Years,45297.76927437642
2011,65 Years and Older,28098.716417910447
2012,25 to 34 Years,40017.78918918919
2012,35 to 44 Years,50023.36101882614
2012,45 to 54 Years,50485.88382573861
2012,55 to 64 Years,45323.42504211117
2012,65 Years and Older,28058.62604540024
2013,25 to 34 Years,39743.661784287615
2013,35 to 44 Years,50253.4375
2013,45 to 54 Years,51816.236668359576
2013,55 to 64 Years,44845.46052631579
2013,65 Years and Older,28889.222170470424
2014,25 to 34 Years,40373.39785508763
2014,35 to 44 Years,50167.78846153846
2014,45 to 54 Years,52241.97054342306
2014,55 to 64 Years,44996.856838176485
2014,65 Years and Older,30334.611748818366
2015,25 to 34 Years,42742.926767032404
2015,35 to 44 Years,52724.354706684855
2015,45 to 54 Years,53497.72854596384
2015,55 to 64 Years,47834.00625978091
2015,65 Years and Older,31111.872414543872
2016,25 to 34 Years,44000.94797398699
2016,35 to 44 Years,54189.173260572985
2016,45 to 54 Years,53670.0025846472
2016,55 to 64 Years,48783.75812743823
2016,65 Years and Older,31155.052631578947
2017,25 to 34 Years,44896.55437205846
2017,35 to 44 Years,55241.53846153846
2017,45 to 54 Years,56166.353734439836
2017,55 to 64 Years,48948.415892672856
2017,65 Years and Older,31768.213197969544
2018,25 to 34 Years,45614.8553212359
2018,35 to 44 Years,56209.368505195846
2018,45 to 54 Years,57704.23863938347
2018,55 to 64 Years,49887.17604543108
2018,65 Years and Older,32909.80757903004
2019,25 to 34 Years,47217.794260700386
2019,35 to 44 Years,59101.90102120974
2019,45 to 54 Years,61547.82151523322
2019,55 to 64 Years,51731.25095153514
2019,65 Years and Older,34857.952263686304
2020,25 to 34 Years,47943.828182039426
