year,age_group,wage_annual_2024d,hourly_2024d,time_years_total,time_hours_total,total_cost_2024d,cost_2024d_education,cost_2024d_health,cost_2024d_housing,cost_2024d_transport,time_years_education,time_years_health,time_years_housing,time_years_transport,time_hours_education,time_hours_health,time_hours_housing,time_hours_transport
1996,35 to 44 Years,47470.602582496416,23.73530129124821,1.0521084514439267,2104.2169028878534,49944.22217218037,894.3587057726037,4816.43238970381,27770.227149114497,16463.203927589464,0.0188402644398362,0.10146137035723553,0.584998412456514,0.34680840419034104,37.6805288796724,202.92274071447105,1169.996824913028,693.6168083806821
1996,45 to 54 Years,51695.658396946565,25.84782919847328,1.0388685416639472,2077.7370833278947,53704.99324919346,1968.8270194205209,5463.319173931974,28115.880475281483,18156.966580559485,0.03808495878518129,0.10568235986050752,0.5438731480967494,0.35122807492150904,76.16991757036259,211.36471972101504,1087.7462961934987,702.4561498430181
1996,55 to 64 Years,39849.36787872783,19.924683939363916,1.1851661297286884,2370.3322594573765,47228.12110096658,1148.7403168954688,5433.363215213022,24706.89740662928,15939.120162228808,0.028827064971052727,0.13634753835363672,0.6200072603866366,0.39998426601736237,57.654129942105456,272.6950767072734,1240.014520773273,799.9685320347247
1996,65 Years and Older,23561.92307692308,11.780961538461542,1.568279151864782,3136.5583037295637,36951.67273938016,265.5224116099979,6314.230325651372,20293.873723872963,10078.04627824583,0.011269131587567855,0.2679845064020105,0.8612995491759797,0.4277259646992239,22.53826317513571,535.969012804021,1722.5990983519594,855.4519293984479
1997,25 to 34 Years,40107.48244192328,20.05374122096164,1.0355374137362923,2071.0748274725847,41532.798639382985,900.0565303340833,3109.9108550225956,24188.668225014284,13334.163029012023,0.022441112618758592,0.07753941822516111,0.6030961494539112,0.3324607334384613,44.88222523751718,155.07883645032223,1206.1922989078225,664.9214668769225
1997,35 to 44 Years,47374.059616749466,23.68702980837473,1.0518206319756431,2103.6412639512864,49829.01332534121,917.1944191345207,4836.826059223378,27846.31028527137,16228.682561711945,0.01936068866705777,0.10209861891407931,0.587796581305143,0.34256474308936297,38.721377334115544,204.19723782815862,1175.593162610286,685.129486178726
1997,45 to 54 Years,53200.53654024052,26.60026827012026,1.0074480527524645,2014.896105504929,53596.77694285165,2019.0971953404223,5486.451882272542,28192.91061086104,17898.317254377645,0.03795257203493034,0.1031277547007938,0.5299365841834343,0.33643114183330614,75.90514406986068,206.2555094015876,1059.8731683668684,672.8622836666123
1997,55 to 64 Years,41481.94086790653,20.740970433953265,1.1359423295629885,2271.8846591259767,47121.09254428388,1178.0711708745125,5456.369084459252,24774.58782303491,15712.064465915199,0.028399615500776982,0.13153601230555484,0.5972379137689372,0.37876878798771935,56.79923100155396,263.07202461110967,1194.4758275378745,757.5375759754387
1997,65 Years and Older,24391.02229299363,12.195511146496816,1.5127379159239656,3025.4758318479307,36897.22423075817,272.3020109402833,6340.965949887901,20349.473613257847,9934.482656672135,0.011164026159678538,0.25997130721779366,0.8343017922255466,0.4073007903209467,22.328052319357077,519.9426144355873,1668.6035844510932,814.6015806418934
1998,25 to 34 Years,41998.060941828255,20.99903047091413,0.984246325872073,1968.4926517441456,41336.43717574587,930.2351634524475,3160.878953707976,24364.557149753527,12880.765908831921,0.022149478870963146,0.07526249743020581,0.5801352872815011,0.30669906228940286,44.298957741926294,150.52499486041162,1160.2705745630021,613.3981245788057
